category_id,name,price,company_name,active_ingredient,how_supplied,storage,dosage_form,pack_size,origin,strength,image,detail,note,documentation_availability,sourcing_delivery,frequently_asked_questions,disclaimer,on_request,source_url,show_on_home
2,Ninlaro,7000,Takeda Pharma,Ixazomib,,15°C to 30°C,,3 Capsules,Germany,4 mg,,Ninlaro is a registered trademark of Takeda Pharma,Ninlaro4 MG 3 CapsulesSummary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu[November 2016],,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/ninlaro,
2,Ninlaro,7000,Takeda Pharma,Ixazomib,,15°C to 30°C,,3 Capsules,Germany,2.3 mg,,Ninlaro is a registered trademark of Takeda Pharma,Ninlaro2.3 MG 3 CapsulesSummary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu[November 2016],,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/ninlaro,
2,Ninlaro,7000,Takeda Pharma,Ixazomib,,15°C to 30°C,,3 Capsules,Germany,3 mg,,Ninlaro is a registered trademark of Takeda Pharma,Ninlaro3 MG 3 CapsulesSummary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu[November 2016],,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/ninlaro,
1,Ogsiveo,7388,Springworks Therapeutics Ireland Limited,Nirogacestat,,15°C to 30°C,,56 Tablets,Ireland,150 mg,,Ogsiveois a registered Trademark of Springworks Therapeutics Ireland Limited,Ogsiveo 150 mg 56 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/ogsiveo-epar-product-information_en.pdf,
1,Ogsiveo,7388,Springworks Therapeutics Ireland Limited,Nirogacestat,,15°C to 30°C,,56 Tablets,Ireland,100 mg,,Ogsiveois a registered Trademark of Springworks Therapeutics Ireland Limited,Ogsiveo 100 mg 56 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/ogsiveo-epar-product-information_en.pdf,
2,Omjjara,5100,Glaxosmith,Momelotinib,,15°C to 30°C,,30 Tablets,Germany,100 mg,,Omjjara is a registered Trademark of Glaxosmith,Omjjara  100 mg 30 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/omjjara-epar-product-information_en.pdf,
2,Omjjara,5100,Glaxosmith,Momelotinib,,15°C to 30°C,,30 Tablets,Germany,200 mg,,Omjjarais a registered Trademark of Glaxosmith,Omjjara 200 mg 30 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/omjjara-epar-product-information_en.pdf,
1,Orserdu,6970,Stemline Therapeutics,Elacestrant,,15°C to 30°C,,28 Tablets,Germany,345 mg,,Orserdu is a register trademark of Stemline Therapeutics,Orserdu345 mg28 Tablets Summary of Product Characteristics (SmPC)  - (EMA) ema.europa.eu  [2023],,,,,,https://ec.europa.eu/health/documents/community-register/2023/20230915160176/anx_160176_en.pdf,
1,Orserdu,2000,Stemline Therapeutics B.V,Elacestrant,,15°C to 30°C,,28 Tablets,Germany,86 Mg,,Orserdu is a registered Trademark of Stemline Therapeutics B.V,Orserdu 86 Mg 28 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://ec.europa.eu/health/documents/community-register/2023/20230915160176/anx_160176_en.pdf,
1,QINLOCK,12899,Argenx,Efgartigimod Alfa,,15°C to 30°C,,90 Tablets,Belgium,50 mg,,QINLOCK is a registered Trademark of argenx,QINLOCK 50 mg 90 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/vyvgart-epar-product-information_en.pdf,
1,QINLOCK,1290,Argenx,Efgartigimod Alfa,,15°C to 30°C,,30 Tablets,Belgium,50 mg,,QINLOCK is a registered Trademark of argenx,QINLOCK 50 mg 30 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/vyvgart-epar-product-information_en.pdf,
1,Retsevmo,4200,Eli Lilly,Selpercatinib,,15°C to 30°C,,112 Capsules,USA,80 mg,,Retsevmo is a registered Trademark of Eli Lilly,Retsevmo80 mg112 CapsulesSummary of Product Characteristics (SmPC ) - (FDA) fda.gov [February 2021],,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213246s008lbl.pdf,
1,Retsevmo,3200,Eli Lilly,Selpercatinib,,15°C to 30°C,,168 capsules,USA,40 mg,,Retsevmo is a registered Trademark of Eli Lilly,Retsevmo40 mg168 capsules Summary of Product Characteristics (SmPC)  - (FDA) fda.gov 2020,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213246s008lbl.pdf,
1,Retsevmo,1035,Eli Lilly,Selpercatinib,,15°C to 30°C,,56 Capsules,USA,40 mg,,Retsevmo is a registered Trademark of Eli Lilly,Retsevmo40 mg56 Capsules Summary of Product Characteristics (SmPC)  - (FDA) fda.gov 2020,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213246s008lbl.pdf,
1,Retsevmo,1400,Eli Lilly,Selpercatinib,,15°C to 30°C,,56 Tablets,Germany,80 mg,,Retsevmo is a registered Trademark of Eli Lilly,Retsevmo  80 mg 56 Tablets Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/retsevmo-epar-product-information_en.pdf,
1,Scemblix,7500,Novartis,Asciminib,,15°C to 30°C,,60 Capsules,USA,20 mg,,Scemblix  is a registered Trademark of Novartis,Scemblix  20 mg 60 Capsules  Summary of Product Characteristics (SmPC)  - (FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215358s000Orig2lbl.pdf,
1,Scemblix,7500,Novartis,Asciminib,,15°C to 30°C,,60 Capsules,USA,40 mg,,Scemblix  is a registered Trademark of Novartis,Scemblix  40 mg 60 Capsules  Summary of Product Characteristics (SmPC)  - (FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215358s000Orig2lbl.pdf,
2,Talvey,489,Janssen-Cilag,Talquetamab,,2°C to 8°C,,Single Vial,Germany,2 mg/ ml,,Sunosi  is a registered Trademark of  Janssen-Cilag,Talvey  2 mg/ ml Single Vials Summary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/talvey-epar-product-information_en.pdf,
2,Talvey,3368,Janssen-Cilag,Talquetamab,,2°C to 8°C,,Single Vial,Germany,40 mg/ ml,,Talvey  is a registered Trademark of Janssen-Cilag,Talvey  40 mg/ ml Single Vials Summary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/talvey-epar-product-information_en.pdf,
